工事コード,名称,摘要,単位,発注単価,見積単価,数量根拠
1,仮設工事,,式,0,0,
2,基礎工事,,式,0,0,
3,木工事,,式,0,0,
4,断熱工事,,式,0,0,
5,屋根工事,,式,0,0,
6,板金・樋工事,,式,0,0,
7,外部建具工事,,式,0,0,
8,内部建具工事,,式,0,0,
9,外装工事,,式,0,0,※金属工事から変更
10,左官工事,,式,0,0,
11,タイル工事,,式,0,0,
12,塗装工事,,式,0,0,※新規追加
13,内装工事,,式,0,0,
14,住宅設備機器工事,,式,0,0,
15,給排水設備工事,,式,0,0,
16,電気設備工事,,式,0,0,
17,換気システム工事,,式,0,0,
18,エアコン工事,,式,0,0,
19,太陽光発電システム工事,,式,0,0,※新規追加
20,造作家具工事,,式,0,0,
21,雑工事,,式,0,0,
22,管理費,,式,0,0,※新規追加（経費率3%/2%）
23,屋外付帯工事,,式,0,0,
24,諸費用,,式,0,0,
10001,外部足場組,養生ﾈｯﾄ等含む,㎡,600,900,見付面積
10002,仮設ﾄｲﾚ,,式,25000,35800,
10003,廃材処分費,,㎡,1000,1500,施工床面積
10004,運搬費,,㎡,500,720,施工床面積
10005,駐車場代,※駐車スペースある場合もマイナスしない,式,120000,171500,
10006,基礎廻り養生ｼｰﾄ,,式,16000,22900,
10007,安全対策費,120㎡以下,式,100000,142900,※面積帯で変動
10008,安全対策費,180㎡以下,式,150400,214900,※面積帯で変動
10009,安全対策費,180㎡超,式,200800,286800,※面積帯で変動
10010,整地費用,※整地不要の場合もマイナスしない,式,35000,50000,
20001,水盛り･遣方,,式,20000,28600,
20002,ﾍﾞﾀ基礎,,㎡,19700,28200,基礎伏図ﾍﾞﾀ基礎面積※ない場合は1F部屋面積から集
20003,人通口補強,60㎡以下,式,96000,137200,※一式計上に変更
20004,人通口補強,60㎡超過分,㎡,1600,2300,※超過分は㎡計上
20005,下地土間ｺﾝｸﾘｰﾄ,玄関･ﾎﾟｰﾁ,㎡,4000,5800,土間ﾀｲﾌﾟの部屋･ﾎﾟｰﾁ･犬走面積から集計
20006,ﾎﾟﾝﾌﾟ車,,台,40000,57200,
20007,深基礎,高低差450㎜以下,ｍ,8000,11500,
20008,布基礎,,ｍ,15760,22600,※新規追加
30001,1階床 無垢ﾌﾛｰﾘﾝｸﾞ（標準）,北恵　※施工費込,坪,21800,31200,
30002,2階床 ﾌﾛｰﾘﾝｸﾞ貼,朝日ｳｯﾄﾞﾃｯｸ MRX3P,坪,8000,11500,
30003,R階床 ﾌﾛｰﾘﾝｸﾞ,朝日ｳｯﾄﾞﾃｯｸ MRX3P,坪,8000,11500,
30004,水廻り床,ｲｸﾀ ｸﾙｰﾄﾞﾌﾛｰﾘﾝｸﾞ　※ｼﾞｮｲﾝﾄｼｰﾙ施工,坪,14000,20000,
30005,【ALL金物工法】木造構造材･羽柄材･ﾌﾟﾚｶｯﾄ,基本　本体+付帯,坪,72000,102900,
30006,金物費捻出,,式,-60000,-85800,
30007,割増A：建物難易度,外部入隅の数,ヶ所,15000,21500,
30008,割増B：2階比,1階-2階,坪,2500,3600,
30009,化粧柱,化粧柱[個数],本,12000,17200,※新規追加
30010,金物費,,式,60000,85800,
